Field,ID,Type (Type),default,en-us,ja,zh-hans,zh-hant
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,
TrailerTitle1,1020,Text,,,,,
TrailerTitle2,1021,Text,,,,,
TrailerTitle3,1022,Text,,,,,
TrailerTitle4,1023,Text,,,,,
TrailerTitle5,1024,Text,,,,,
TrailerTitle6,1025,Text,,,,,
TrailerTitle7,1026,Text,,,,,
TrailerTitle8,1027,Text,,,,,
TrailerTitle9,1028,Text,,,,,
TrailerTitle10,1029,Text,,,,,
TrailerTitle11,1030,Text,,,,,
TrailerTitle12,1031,Text,,,,,
TrailerTitle13,1032,Text,,,,,
TrailerTitle14,1033,Text,,,,,
TrailerTitle15,1034,Text,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,
